Commune;Prixm2_Moy;Code_postal
Beaumont;1067.0;63110
Beaumont;1067.0;54470
Beaumont;1067.0;7110
Beaumont;1067.0;32100
Beaumont;1067.0;74160
Beaumont;1067.0;89250
Beaumont;1481.0;43100
Beaumont;1481.0;19390
Beaumont;1481.0;63110
Beaumont;1481.0;54470
Beaumont;1481.0;7110
Beaumont;1481.0;32100
Beaumont;1481.0;74160
Beaumont;1481.0;89250
Beaumont;1061.0;43100
Beaumont;1061.0;19390
Beaumont;1061.0;63110
Beaumont;1061.0;54470
Beaumont;1061.0;7110
Beaumont;1061.0;32100
Beaumont;1061.0;74160
Beaumont;1061.0;89250
Beaumont;2060.0;43100
Beaumont;2060.0;19390
Beaumont;2060.0;63110
Beaumont;2060.0;54470
Beaumont;2060.0;7110
Beaumont;2060.0;32100
Beaumont;2060.0;74160
Beaumont;2060.0;89250
Beaumont;1097.0;43100
Beaumont;1097.0;19390
Beaumont;1097.0;63110
Beaumont;1097.0;54470
Beaumont;1097.0;7110
Beaumont;1097.0;32100
Beaumont;1097.0;74160
Beaumont;1097.0;89250
Blesle;705.0;43450
Chalons du maine;1253.0;53470
Argentre;1570.0;53210
Change;1925.0;53810
Change;1925.0;21340
Change;1925.0;72560
Change;1886.0;53810
Change;1886.0;21340
Change;1886.0;72560
Change;1779.0;53810
Change;1779.0;21340
Change;1779.0;72560
Montigne le brillant;1598.0;53970
Beaulieu sur oudon;2370.0;53320
Bonchamp les laval;1821.0;53960
Olivet;722.0;45160
Olivet;722.0;53410
Olivet;2140.0;45160
Olivet;2140.0;53410
Montflours;1774.0;53240
Louvigne;1302.0;53210
Loiron ruille;1267.0;53320
Loiron ruille;1267.0;53320
Soulge sur ouette;1048.0;53210
Soulge sur ouette;1048.0;53210
Fontannes;1335.0;43100
Vieille brioude;1003.0;43100
Lavaudieu;2456.0;43100
Agnat;876.0;43100
Lamothe;1294.0;43100
Lamothe;1294.0;40250
Lamothe;1283.0;43100
Lamothe;1283.0;40250
Javaugues;1172.0;43100
Frugieres le pin;625.0;43230
Angerville l orcher;2222.0;76280
Rolleville;2125.0;76133
Marcilly en gault;995.0;41210
Notre dame du bec;2175.0;76133
Routot;1553.0;27350
Bouge chambalud;2085.0;38150
Montseveroux;1636.0;38122
Cuverville;2178.0;14840
Cuverville;2178.0;27700
Cuverville;2178.0;76280
Cuverville;2060.0;14840
Cuverville;2060.0;27700
Cuverville;2060.0;76280
Cuverville;425.0;14840
Cuverville;425.0;27700
Cuverville;425.0;76280
Emerchicourt;1331.0;59580
Baume les messieurs;1024.0;39210
Baume les messieurs;1024.0;39570
Sablons;1867.0;38550
Sablons;1867.0;33910
Sablons;1574.0;38550
Sablons;1574.0;33910
Montjean;1368.0;53320
Montjean;1368.0;16240
Montjean;815.0;53320
Montjean;815.0;16240
Montboudif;796.0;15190
Champdor corcelles;1250.0;1110
Champdor corcelles;1250.0;1110
Bourgon;1318.0;53410
Chanterelle;738.0;15190
Escatalens;1369.0;82700
Buzet sur tarn;2122.0;31660
Laboissiere en thelle;1927.0;60570
Boury en vexin;2300.0;60240
Courcelles les gisors;2046.0;60240
Etretat;2388.0;76790
Mannevillette;2410.0;76290
Pierrefiques;1181.0;76280
Cauville sur mer;2235.0;76930
Heuqueville;2061.0;27700
Heuqueville;2061.0;76280
Heuqueville;1114.0;27700
Heuqueville;1114.0;76280
Montivilliers;2158.0;76290
Epouville;2033.0;76133
Beaurepaire;1843.0;60700
Beaurepaire;1843.0;76280
Beaurepaire;1843.0;38270
Beaurepaire;1843.0;85500
Beaurepaire;1374.0;60700
Beaurepaire;1374.0;76280
Beaurepaire;1374.0;38270
Beaurepaire;1374.0;85500
Beaurepaire;1300.0;60700
Beaurepaire;1300.0;76280
Beaurepaire;1300.0;38270
Beaurepaire;1300.0;85500
Fontaine la mallet;2294.0;76290
Fontenay;2119.0;71120
Fontenay;2119.0;76290
Fontenay;2119.0;88600
Fontenay;2119.0;36150
Fontenay;1375.0;71120
Fontenay;1375.0;76290
Fontenay;1375.0;88600
Fontenay;1375.0;36150
Fontenay;1793.0;71120
Fontenay;1793.0;76290
Fontenay;1793.0;88600
Fontenay;1793.0;36150
Octeville sur mer;2311.0;76930
Fouqueville;1590.0;27370
Mandeville;1862.0;27370
Hermeville;2231.0;76280
Etainhus;2013.0;76430
Criquetot l esneval;2143.0;76280
Sainneville;1747.0;76430
Fongueusemare;1535.0;76280
Rogerville;2174.0;76700
Graimbouville;1964.0;76430
Sandouville;1847.0;76430
Maneglise;2461.0;76133
Epretot;2094.0;76430
Gommerville;1402.0;28310
Gommerville;1402.0;28700
Gommerville;1402.0;28310
Gommerville;1402.0;76430
Gommerville;1605.0;28310
Gommerville;1605.0;28700
Gommerville;1605.0;28310
Gommerville;1605.0;76430
Benouville;3006.0;14970
Benouville;3006.0;76790
Benouville;2680.0;14970
Benouville;2680.0;76790
Oudalle;1360.0;76430
Gainneville;1839.0;76700
Rougemontiers;1646.0;27350
Bouquelon;1661.0;27500
Fort moville;2175.0;27210
Martainville;1753.0;14220
Martainville;1753.0;27210
Martainville;1089.0;14220
Martainville;1089.0;27210
Marais vernier;1351.0;27680
Tourville la campagne;1520.0;27370
Pact;1045.0;38270
Pommier de beaurepaire;1457.0;38260
Moissieu sur dolon;1490.0;38270
Pisieu;1431.0;38270
Revel tourdan;1317.0;38270
Primarette;1862.0;38270
Cour et buis;1889.0;38122
Salaise sur sanne;1753.0;38150
Anjou;1999.0;38150
Agnin;1580.0;38150
Chanas;2020.0;38150
Jarcieu;1448.0;38270
Auberives sur vareze;1880.0;38550
Vernioz;2385.0;38150
Chalon;1696.0;38122
Cheyssieu;1552.0;38550
Sonnay;1665.0;38150
Monsteroux milieu;1934.0;38122
Roussillon;1566.0;38150
Roussillon;1566.0;84220
Roussillon;3006.0;38150
Roussillon;3006.0;84220
Ville sous anjou;1866.0;38150
Vergetot;1542.0;76280
Clonas sur vareze;2440.0;38550
Allouis;1169.0;18500
Anglesqueville l esneval;2249.0;76280
Nuille sur vicoin;1391.0;53970
Assieu;2173.0;38150
Villainville;2155.0;76280
Villiers sur marne;3917.0;94350
Bagnolet;4879.0;93170
Arcueil;5244.0;94110
Noiseau;3671.0;94880
Vincennes;8048.0;94300
Clichy sous bois;1699.0;93390
Epinay sur seine;2680.0;93800
Argenteuil;3257.0;95100
Chatillon;5699.0;39130
Chatillon;5699.0;3210
Chatillon;5699.0;69380
Chatillon;5699.0;92320
Chatillon;1401.0;39130
Chatillon;1401.0;3210
Chatillon;1401.0;69380
Chatillon;1401.0;92320
Chatillon;2971.0;39130
Chatillon;2971.0;3210
Chatillon;2971.0;69380
Chatillon;2971.0;92320
Chatillon;1422.0;39130
Chatillon;1422.0;3210
Chatillon;1422.0;69380
Chatillon;1422.0;92320
